refid,year,pubmedid,pubmedcentralid,doi,uri
rid.18671,2017,28629508,,10.1099/ijsem.0.001894,
rid.17670,2016,27189351,,10.1099/ijsem.0.001158,
rid.17678,2016,27216447,,10.1099/ijsem.0.001166,
rid.16207,2015,25964519,,10.1099/ijs.0.000319,
rid.17584,2016,27054961,,10.1099/ijsem.0.001068,
rid.17945,2015,25605042,,10.1038/ja.2014.170,
rid.14143,2013,23825372,,10.1099/ijs.0.054650-0,
rid.17901,2016,27535702,,10.1099/ijsem.0.001430,
rid.17902,2016,27538951,,10.1099/ijsem.0.001431,
rid.17899,2016,27535803,,10.1099/ijsem.0.001432,
rid.18104,2017,27902231,,10.1099/ijsem.0.001599,
rid.17941,2016,27601234,,10.1099/ijsem.0.001471,
rid.17935,2016,27601150,,10.1099/ijsem.0.001456,
rid.17931,2016,27582375,,10.1099/ijsem.0.001464,
rid.17933,2016,27580743,,10.1099/ijsem.0.001468,
rid.17937,2016,27600161,,10.1099/ijsem.0.001480,
rid.17940,2016,27601246,,10.1099/ijsem.0.001472,
rid.17938,2016,27599853,,10.1099/ijsem.0.001478,
rid.17942,2016,27600000,,10.1099/ijsem.0.001479,
rid.17932,2016,27582419,,10.1099/ijsem.0.001465,
rid.17930,2016,27582443,,10.1099/ijsem.0.001466,
rid.17939,2016,27599476,,10.1099/ijsem.0.001475,
rid.17936,2016,27599730,,10.1099/ijsem.0.001477,
rid.4152,1910,,,,http://hdl.handle.net/2263/10409
rid.4615,1939,,,,
rid.3593,2002,12054233,,10.1099/00207713-52-3-739,
rid.18672,2017,28629492,,10.1099/ijsem.0.001893,
rid.17907,2015,,,10.1099/ijsem.0.000413,
rid.17946,2015,25783226,,10.1038/ja.2015.24,
rid.17910,2016,27553490,,10.1099/ijsem.0.001442,
rid.17912,2016,27553620,,10.1099/ijsem.0.001443,
rid.17911,2016,27553654,,10.1099/ijsem.0.001444,
rid.17882,2016,27506768,,10.1099/ijsem.0.001409,
rid.17947,2016,27604340,,10.1099/ijsem.0.001412,
rid.17904,2016,27542894,,10.1099/ijsem.0.001435,
rid.17903,2016,27542975,,10.1099/ijsem.0.001436,
rid.4791,1925,,,,
rid.17921,2016,27562657,,10.1099/ijsem.0.001453,
rid.17944,2016,26865469,,10.1099/ijsem.0.000737,
rid.17943,2015,28056215,,10.1099/ijsem.0.000632,
rid.17905,2016,27543089,,10.1099/ijsem.0.001437,
rid.17906,2016,27550187,,10.1099/ijsem.0.001438,
rid.17908,2016,27550311,,10.1099/ijsem.0.001439,
rid.17914,2016,27562555,,10.1099/ijsem.0.001452,
rid.18688,2013,,,10.2174/1874318820130731002,
rid.17949,2016,27609593,,10.1099/ijsem.0.001476,
rid.17922,2016,27562780,,10.1099/ijsem.0.001455,
rid.17883,2016,27506535,,10.1099/ijsem.0.001403,
rid.17920,2016,27561257,,10.1099/ijsem.0.001457,
rid.17959,2016,27620694,,10.1099/ijsem.0.001469,
rid.17948,2016,27609499,,10.1099/ijsem.0.001470,
rid.17958,2016,27620889,,10.1099/ijsem.0.001487,
rid.18707,2010,,,,
rid.17916,2016,27562767,,10.1099/ijsem.0.001454,
rid.17952,2016,27613241,,10.1099/ijsem.0.001482,
rid.17954,2016,27613602,,10.1099/ijsem.0.001486,
rid.4752,1963,,,,
rid.17951,2016,27612451,,10.1099/ijsem.0.001488,
rid.17956,2016,27613103,,10.1099/ijsem.0.001490,
rid.17950,2016,27613514,,10.1099/ijsem.0.001484,
rid.17957,2016,27613234,,10.1099/ijsem.0.001494,
rid.17966,2016,27624500,,10.1099/ijsem.0.001473,
rid.17917,2016,27562120,,10.1099/ijsem.0.001447,
rid.17915,2016,27562239,,10.1099/ijsem.0.001449,
rid.966,1963,,,,
rid.17963,2016,27624617,,10.1099/ijsem.0.001481,
rid.17965,2016,27624755,,10.1099/ijsem.0.001497,
rid.17961,2016,27619232,,10.1099/ijsem.0.001500,
rid.18689,2004,15023966,,10.1099/ijs.0.02821-0,
rid.18001,2016,27272908,,10.1007/s10482-016-0717-2,
rid.18002,2016,,,10.1007/s13213-016-1200-z,
rid.17892,2016,27515497,,10.1099/ijsem.0.001419,
rid.17884,2016,27515245,,10.1099/ijsem.0.001417,
rid.17987,2016,27666312,,10.1099/ijsem.0.001509,
rid.17983,2016,27666743,,10.1099/ijsem.0.001515,
rid.17919,2016,27562459,,10.1099/ijsem.0.001451,
rid.17988,2016,27670691,,10.1099/ijsem.0.001520,
rid.17989,2016,27670798,,10.1099/ijsem.0.001521,
rid.17991,2016,27670917,,10.1099/ijsem.0.001522,
rid.17996,2016,27692033,,10.1099/ijsem.0.001531,
rid.17969,2016,27638144,,10.1099/ijsem.0.001498,
rid.17970,2016,27638361,,10.1099/ijsem.0.001499,
rid.17998,2016,27692034,,10.1099/ijsem.0.001533,
rid.17985,2016,27667642,,10.1099/ijsem.0.001491,
rid.17990,2016,27671055,,10.1099/ijsem.0.001523,
rid.17993,2016,27692038,,10.1099/ijsem.0.001516,
rid.17986,2016,27667170,,10.1099/ijsem.0.001519,
rid.17918,2016,27562367,,10.1099/ijsem.0.001450,
rid.16186,2015,25933620,,10.1099/ijs.0.000292,
rid.17992,2016,27692046,,10.1099/ijsem.0.001524,
rid.17994,2016,27692036,,10.1099/ijsem.0.001525,
rid.18110,1923,,,,
rid.17995,2016,27692035,,10.1099/ijsem.0.001526,
rid.17997,2016,27692037,,10.1099/ijsem.0.001534,
rid.17999,2016,27692040,,10.1099/ijsem.0.001535,
rid.18000,2016,27692032,,10.1099/ijsem.0.001530,
rid.17967,2016,27530314,,10.1099/ijsem.0.001169,
rid.18004,2016,27670113,,10.1038/nmicrobiol.2016.131,
rid.18690,2007,,,10.1111/j.1529-8817.2007.00376.x,
rid.18693,1849,,,,http://www.algaebase.org/search/genus/detail/?genus_id=43582
rid.17889,2016,27514670,,10.1099/ijsem.0.001413,
rid.18007,2016,27639921,,10.1016/j.syapm.2016.08.006,
rid.17979,2016,27654846,,10.1099/ijsem.0.001506,
rid.17981,2016,27666417,,10.1099/ijsem.0.001512,
rid.18012,2016,26960291,,10.1007/s00284-016-1022-z.,
rid.18005,2015,26594307,PMC4653933,10.1186/s40793-015-0100-3,
rid.18006,2016,27287844,,10.1016/j.syapm.2016.04.004,
rid.18011,2016,27423889,,10.1007/s00203-016-1264-y,
rid.17888,2016,27515094,,10.1099/ijsem.0.001416,
rid.17887,2016,27515386,,10.1099/ijsem.0.001418,
rid.18003,2016,27928990,,10.1099/ijsem.0.001585,
rid.17976,2016,27654623,,10.1099/ijsem.0.001504,
rid.17973,2016,27654931,,10.1099/ijsem.0.001507,
rid.17974,2016,27652598,,10.1099/ijsem.0.001508,
rid.17972,2016,27638563,,10.1099/ijsem.0.001503,
rid.17923,2016,27565417,,10.1099/ijsem.0.001448,
rid.17971,2016,27638476,,10.1099/ijsem.0.001502,
rid.1283,1989,,,,
rid.17980,2016,27665758,,10.1099/ijsem.0.001505,
rid.17978,2016,27653171,,10.1099/ijsem.0.001510,
rid.17977,2016,27654878,,10.1099/ijsem.0.001511,
rid.18691,2001,11706560,,http://dx.doi.org/10.1590/S1519-69842001000300002,
rid.16161,2015,25908711,,10.1099/ijs.0.000280,
rid.16160,2015,25908712,,10.1099/ijs.0.000281,
rid.16156,2015,25899505,,10.1099/ijs.0.000279,
rid.16154,2015,25899503,,10.1099/ijs.0.000272,
rid.16153,2015,25896354,,10.1099/ijs.0.000270,
rid.16200,2015,25951859,,10.1099/ijs.0.000302,
rid.16193,2015,25944809,,10.1099/ijs.0.000299,
rid.16194,2015,25944808,,10.1099/ijs.0.000298,
rid.5312,1929,,,,
rid.16195,2015,25948619,,10.1099/ijs.0.000307,
rid.16196,2015,25948618,,10.1099/ijs.0.000303,
rid.16197,2015,25948617,,10.1099/ijs.0.000304,
rid.16198,2015,25951861,,10.1099/ijs.0.000309,
rid.16199,2015,25951860,,10.1099/ijs.0.000305,
rid.16201,2015,25951858,,10.1099/ijs.0.000306,
rid.16202,2015,25957053,,10.1099/ijs.0.000314,
rid.17893,2016,27521144,,10.1099/ijsem.0.001422,
rid.16204,2015,25957051,,10.1099/ijs.0.000311,
rid.17926,2016,27565851,,10.1099/ijsem.0.001460,
rid.17924,2016,27565539,,10.1099/ijsem.0.001458,
rid.17925,2016,27565704,,10.1099/ijsem.0.001459,
rid.17928,2016,27566409,,10.1099/ijsem.0.001463,
rid.16774,2015,26286553,,10.1099/ijsem.0.000534,
rid.16185,2015,25933621,,10.1099/ijs.0.000294,
rid.16184,2015,25933622,,10.1099/ijs.0.000293,
rid.16567,2015,26297652,,10.1099/ijsem.0.000452,
rid.16568,2015,26297330,,10.1099/ijsem.0.000449,
rid.16569,2015,26296663,,10.1099/ijsem.0.000442,
rid.16570,2015,26297568,,10.1099/ijsem.0.000451,
rid.16571,2015,26296995,,10.1099/ijsem.0.000445,
rid.16572,2015,26296765,,10.1099/ijsem.0.000443,
rid.16573,2015,26296568,,10.1099/ijsem.0.000441,
rid.16575,2015,26297022,,10.1099/ijsem.0.000446,
rid.16609,2015,26297504,,10.1099/ijsem.0.000463,
rid.16610,2015,26297219,,10.1099/ijsem.0.000448,
rid.16611,2015,26297008,,10.1099/ijsem.0.000458,
rid.16617,2015,26198352,,10.1099/ijsem.0.000467,
rid.16612,2015,26297585,,10.1099/ijsem.0.000465,
rid.16614,2015,26297040,,10.1099/ijsem.0.000459,
rid.16615,2015,26297378,,10.1099/ijsem.0.000462,
